_id,BUDGET_YEAR,BUDGET_MONTH_DESC,GROUP_NAME,DUTY_NAME,PRODUCT_NAME,TAX_NETTAX_AMT,UPDATE_DATE
41,2563,กุมภาพันธ์,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำเกินกว่า 60 บาท,809718134.0000,2566-08-11T00:00:00
42,2563,กุมภาพันธ์,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำไม่เกิน 60 บาท,4378134408.1800,2566-08-11T00:00:00
43,2563,กุมภาพันธ์,ภาษียาสูบ,ยาสูบ,บุหรี่อื่น,584400.0000,2566-08-11T00:00:00
44,2563,กุมภาพันธ์,ภาษียาสูบ,ยาสูบ,ยาสูบ,1011.4200,2566-08-11T00:00:00
45,2563,กุมภาพันธ์,ภาษียาสูบ,ยาสูบ,ยาสูบบุหรี่ซิกาแรต,102120600.0000,2566-08-11T00:00:00
46,2563,กุมภาพันธ์,ภาษียาสูบ,ยาสูบ,ยาเคี้ยว,395608.0000,2566-08-11T00:00:00
47,2563,กุมภาพันธ์,ภาษียาสูบ,ยาสูบ,ยาเส้นที่ผู้เพาะปลูกต้นยาสูบทำจากใบยาที่ปลูกและหั่นเองและขายให้ผู้ประกอบอุตสาหกรรมยาสูบ,9000.0000,2566-08-11T00:00:00
48,2563,กุมภาพันธ์,ภาษียาสูบ,ยาสูบ,ยาเส้นปรุง,73976.0000,2566-08-11T00:00:00
49,2563,กุมภาพันธ์,ภาษียาสูบ,ยาสูบ,ยาเส้นอื่น นอกจาก (ก),87767463.8600,2566-08-11T00:00:00
50,2563,มีนาคม,ภาษียาสูบ,ยาสูบ,ซิการ์,2208579.0000,2566-08-11T00:00:00
51,2563,มีนาคม,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำเกินกว่า 60 บาท,1199493268.0000,2566-08-11T00:00:00
52,2563,มีนาคม,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำไม่เกิน 60 บาท,7038583630.0000,2566-08-11T00:00:00
53,2563,มีนาคม,ภาษียาสูบ,ยาสูบ,บุหรี่อื่น,754675.0000,2566-08-11T00:00:00
54,2563,มีนาคม,ภาษียาสูบ,ยาสูบ,ยาสูบ,900.8000,2566-08-11T00:00:00
55,2563,มีนาคม,ภาษียาสูบ,ยาสูบ,ยาสูบบุหรี่ซิกาแรต,86274300.0000,2566-08-11T00:00:00
56,2563,มีนาคม,ภาษียาสูบ,ยาสูบ,ยาเคี้ยว,452050.0000,2566-08-11T00:00:00
57,2563,มีนาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นที่ผู้เพาะปลูกต้นยาสูบทำจากใบยาที่ปลูกและหั่นเองและขายให้ผู้ประกอบอุตสาหกรรมยาสูบ,10000.0000,2566-08-11T00:00:00
58,2563,มีนาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นปรุง,155206.0000,2566-08-11T00:00:00
59,2563,มีนาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นอื่น นอกจาก (ก),93979520.1700,2566-08-11T00:00:00
60,2563,เมษายน,ภาษียาสูบ,ยาสูบ,ซิการ์,588893.0000,2566-08-11T00:00:00
61,2563,เมษายน,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำเกินกว่า 60 บาท,440049050.0000,2566-08-11T00:00:00
62,2563,เมษายน,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำไม่เกิน 60 บาท,2788948800.0000,2566-08-11T00:00:00
63,2563,เมษายน,ภาษียาสูบ,ยาสูบ,บุหรี่อื่น,354325.0000,2566-08-11T00:00:00
64,2563,เมษายน,ภาษียาสูบ,ยาสูบ,ยาสูบ,34925.2700,2566-08-11T00:00:00
