_id,Year,Month,ProvinceID,ProvinceName,Tmax,Tmin
112,2018,4,71,กาญจนบุรี,41.3,20
113,2018,4,72,สุพรรณบุรี,39.9,21.4
114,2018,4,73,นครปฐม,38.9,19.5
115,2018,4,76,เพชรบุรี,37.1,22.5
116,2018,4,77,ประจวบคีรีขันธ์,37.2,19.8
117,2018,4,80,นครศรีธรรมราช,37.5,22.5
118,2018,4,81,กระบี่,37.5,19.8
119,2018,4,82,พังงา,34.7,22.8
120,2018,4,83,ภูเก็ต,37.1,21.9
121,2018,4,84,สุราษฎร์ธานี,36.9,22.3
122,2018,4,85,ระนอง,35.8,23
123,2018,4,86,ชุมพร,35.5,22
124,2018,4,90,สงขลา,36.3,22
125,2018,4,91,สตูล,37.1,22.7
126,2018,4,92,ตรัง,36.9,23.2
127,2018,4,93,พัทลุง,35.7,23.6
128,2018,4,94,ปัตตานี,36.2,22.7
129,2018,4,95,ยะลา,36.2,21.6
130,2018,4,96,นราธิวาส,34.3,20.5
131,2018,5,10,กรุงเทพมหานคร,36.7,22.9
132,2018,5,11,สมุทรปราการ,33.4,25
133,2018,5,13,ปทุมธานี,37.7,24.2
134,2018,5,14,พระนครศรีอยุธยา,37.5,22.5
135,2018,5,16,ลพบุรี,37.4,23.2
136,2018,5,18,ชัยนาท,37.4,23.5
137,2018,5,20,ชลบุรี,36.8,22.4
138,2018,5,21,ระยอง,34.8,23.8
139,2018,5,22,จันทบุรี,35.4,23
140,2018,5,23,ตราด,34.5,23.3
141,2018,5,24,ฉะเชิงเทรา,36.5,22.3
142,2018,5,25,ปราจีนบุรี,37.6,23.6
143,2018,5,27,สระแก้ว,36.8,24.2
144,2018,5,30,นครราชสีมา,37.1,21.6
145,2018,5,31,บุรีรัมย์,37.5,22.1
146,2018,5,32,สุรินทร์,38.8,23.5
147,2018,5,33,ศรีสะเกษ,37.6,23.8
148,2018,5,34,อุบลราชธานี,37.5,22.2
149,2018,5,36,ชัยภูมิ,36.2,22.6
150,2018,5,40,ขอนแก่น,37.1,22.5
151,2018,5,41,อุดรธานี,36.9,22.7
152,2018,5,42,เลย,35.3,22
153,2018,5,43,หนองคาย,37,22.5
154,2018,5,44,มหาสารคาม,37.7,22.8
155,2018,5,45,ร้อยเอ็ด,37,23.8
156,2018,5,46,กาฬสินธุ์,37,23.1
157,2018,5,47,สกลนคร,36.1,23.4
158,2018,5,48,นครพนม,36.8,22.7
159,2018,5,49,มุกดาหาร,36.6,23
160,2018,5,50,เชียงใหม่,38,15
161,2018,5,51,ลำพูน,38,22
162,2018,5,52,ลำปาง,38.6,21.4
163,2018,5,53,อุตรดิตถ์,38.6,22.6
164,2018,5,54,แพร่,36.8,22.2
165,2018,5,55,น่าน,37.8,19.2
166,2018,5,56,พะเยา,36.4,21
167,2018,5,57,เชียงราย,36.1,20.9
168,2018,5,58,แม่ฮ่องสอน,39.2,19.3
169,2018,5,60,นครสวรรค์,38.3,23.7
170,2018,5,62,กำแพงเพชร,38.1,22.9
171,2018,5,63,ตาก,40,18.8
172,2018,5,64,สุโขทัย,37.5,23
173,2018,5,65,พิษณุโลก,37.7,23
174,2018,5,66,พิจิตร,37.3,23.5
175,2018,5,67,เพชรบูรณ์,38,22
176,2018,5,70,ราชบุรี,36.6,24.2
177,2018,5,71,กาญจนบุรี,38.2,22.4
178,2018,5,72,สุพรรณบุรี,37.6,23.5
179,2018,5,73,นครปฐม,37,23.3
180,2018,5,76,เพชรบุรี,36.8,24.3
181,2018,5,77,ประจวบคีรีขันธ์,37,22.5
182,2018,5,80,นครศรีธรรมราช,36.5,22.5
183,2018,5,81,กระบี่,36,23
184,2018,5,82,พังงา,33.5,23.2
185,2018,5,83,ภูเก็ต,35.3,20
186,2018,5,84,สุราษฎร์ธานี,36.5,22.2
187,2018,5,85,ระนอง,35,24
188,2018,5,86,ชุมพร,35.8,22.7
189,2018,5,90,สงขลา,36,22.5
190,2018,5,91,สตูล,35.6,22.7
191,2018,5,92,ตรัง,35.6,23.5
192,2018,5,93,พัทลุง,35,23.9
193,2018,5,94,ปัตตานี,35.3,22.7
194,2018,5,95,ยะลา,35.6,22.4
195,2018,5,96,นราธิวาส,34.2,21
196,2018,6,10,กรุงเทพมหานคร,37.3,24.2
197,2018,6,11,สมุทรปราการ,33.1,25
198,2018,6,13,ปทุมธานี,38.2,24.4
